case_id,date_id,loc_id,car_id1,car_id2,car_id3,car_id4,nm_id1,nm_id2,nm_id3,nm_id4,fatalities
10085,336,258,107.0,,,,10.0,,,,1
10113,448,287,158.0,,,,17.0,,,,1
10153,608,96,207.0,,,,30.0,,,,1
10161,640,351,215.0,,,,34.0,,,,1
10229,912,402,310.0,,,,29.0,,,,1
10241,960,5,318.0,,,,33.0,,,,1
10290,1152,244,432.0,,,,43.0,,,,1
10314,1248,263,469.0,,,,68.0,,,,1
10475,1888,301,614.0,,,,117.0,,,,1
10612,2432,211,907.0,,,,150.0,,,,1
10702,2784,333,1000.0,,,,127.0,,,,1
10746,2960,35,1087.0,,,,170.0,,,,1
10766,3040,285,1129.0,,,,192.0,,,,1
10786,3120,442,1143.0,,,,161.0,174.0,178.0,165.0,2
10856,3392,191,1237.0,,,,204.0,,,,1
10949,3760,0,1298.0,,,,169.0,,,,1
10973,3856,321,1388.0,1334.0,,,171.0,,,,1
20006,3936,401,1408.0,,,,183.0,,,,1
20074,4208,341,1593.0,,,,256.0,,,,1
40049,4416,1538,1681.0,,,,288.0,,,,1
40069,4496,1522,1705.0,,,,292.0,,,,1
40073,4512,587,1574.0,,,,193.0,,,,1
40077,4528,440,1687.0,,,,258.0,,,,1
40081,4544,1502,1695.0,,,,270.0,,,,1
40085,4560,1490,1699.0,1572.0,,,274.0,,,,1
40106,4640,585,1596.0,,,,207.0,,,,1
40110,4656,619,1604.0,,,,211.0,,,,1
40114,4672,583,1608.0,,,,215.0,,,,1
40192,4976,1410,1897.0,,,,336.0,,,,1
40205,5024,575,1742.0,,,,233.0,,,,1
40222,5088,1390,1766.0,,,,237.0,,,,1
40226,5104,1374,1784.0,,,,259.0,,,,1
40243,5168,865,1806.0,,,,253.0,,,,1
40267,5264,1350,1955.0,,,,346.0,,,,1
40271,5280,1334,1840.0,,,,271.0,,,,1
40283,5328,895,1991.0,,,,350.0,,,,1
40299,5392,883,2007.0,,,,362.0,,,,1
40319,5472,693,2027.0,,,,374.0,,,,1
40339,5552,1282,2121.0,,,,384.0,,,,1
40343,5568,1266,2067.0,,,,386.0,,,,1
40351,5600,1242,2141.0,,,,396.0,,,,1
40359,5632,871,2157.0,,,,400.0,,,,1
40387,5744,1226,2030.0,,,,297.0,,,,1
40404,5808,1222,2076.0,,,,307.0,,,,1
40437,5936,835,2269.0,,,,404.0,,,,1
40489,6128,661,2208.0,,,,323.0,,,,1
