state_name,state_code,city_code,city_name,county_code,county_name
ALABAMA,1,10,ABBEVILLE,67,HENRY
ALABAMA,1,50,ALBERTVILLE,95,MARSHALL
ALABAMA,1,60,ALEXANDER CITY,123,TALLAPOOSA
ALABAMA,1,70,ALICEVILLE,107,PICKENS
ALABAMA,1,90,ANDALUSIA,39,COVINGTON
ALABAMA,1,96,ANDERSON,77,LAUDERDALE
ALABAMA,1,100,ANNISTON,15,CALHOUN
ALABAMA,1,101,ANNISTON ARMY DEPOT,15,CALHOUN
ALABAMA,1,103,ANSLEY,109,PIKE
ALABAMA,1,110,ARAB,95,MARSHALL
ALABAMA,1,120,ARDMORE,83,LIMESTONE
ALABAMA,1,127,ARGO,73,JEFFERSON
ALABAMA,1,130,ARITON,45,DALE
ALABAMA,1,134,ARLEY,133,WINSTON
ALABAMA,1,135,ARLINGTON,131,WILCOX
ALABAMA,1,137,ARMSTRONG,87,MACON
ALABAMA,1,140,ASHFORD,69,HOUSTON
ALABAMA,1,150,ASHLAND,27,CLAY
ALABAMA,1,160,ASHVILLE,115,ST. CLAIR
ALABAMA,1,170,ATHENS,83,LIMESTONE
ALABAMA,1,180,ATMORE,53,ESCAMBIA
ALABAMA,1,190,ATTALLA,55,ETOWAH
ALABAMA,1,200,AUBURN,81,LEE
ALABAMA,1,220,AUTAUGAVILLE,1,AUTAUGA
ALABAMA,1,221,AVON,69,HOUSTON
ALABAMA,1,223,AXIS,97,MOBILE
ALABAMA,1,225,BABBIE,39,COVINGTON
ALABAMA,1,224,BAILEYTON,43,CULLMAN
ALABAMA,1,227,BAKER HILL,5,BARBOUR
ALABAMA,1,230,BANKS,109,PIKE
ALABAMA,1,234,BANKSTON,57,FAYETTE
ALABAMA,1,236,BARLOW BEND,25,CLARKE
ALABAMA,1,240,BAY MINETTE,3,BALDWIN
ALABAMA,1,260,BAY VIEW,73,JEFFERSON
ALABAMA,1,250,BAYOU LA BATRE,97,MOBILE
ALABAMA,1,270,BEAR CREEK,93,MARION
ALABAMA,1,280,BEATRICE,99,MONROE
ALABAMA,1,290,BEAVERTON,75,LAMAR
ALABAMA,1,294,BELK,57,FAYETTE
ALABAMA,1,295,BELLAMY,119,SUMTER
ALABAMA,1,297,BELLE MINA,83,LIMESTONE
ALABAMA,1,300,BELLWOOD,61,GENEVA
ALABAMA,1,315,BENTON,85,LOWNDES
ALABAMA,1,2715,BERLIN,47,DALLAS
ALABAMA,1,320,BERRY,57,FAYETTE
ALABAMA,1,330,BESSEMER,73,JEFFERSON
ALABAMA,1,1955,BESSIE,73,JEFFERSON
ALABAMA,1,335,BEXAR,93,MARION
ALABAMA,1,337,BIGBEE,129,WASHINGTON
ALABAMA,1,340,BILLINGSLEY,1,AUTAUGA
ALABAMA,1,350,BIRMINGHAM,73,JEFFERSON
ALABAMA,1,350,BIRMINGHAM,117,SHELBY
ALABAMA,1,360,BLACK,61,GENEVA
ALABAMA,1,365,BLADON SPRINGS,23,CHOCTAW
ALABAMA,1,370,BLOUNTSVILLE,9,BLOUNT
ALABAMA,1,380,BLUE MOUNTAIN,15,CALHOUN
ALABAMA,1,390,BLUE SPRINGS,5,BARBOUR
ALABAMA,1,395,BLUFF PARK,73,JEFFERSON
ALABAMA,1,400,BOAZ,55,ETOWAH
ALABAMA,1,400,BOAZ,95,MARSHALL
ALABAMA,1,410,BOLIGEE,63,GREENE
ALABAMA,1,412,BOLINGER,23,CHOCTAW
ALABAMA,1,411,BOLLING,13,BUTLER
ALABAMA,1,420,BON AIR,121,TALLADEGA
ALABAMA,1,423,BON SECOUR,3,BALDWIN
ALABAMA,1,425,BOOTH,1,AUTAUGA
ALABAMA,1,430,BORDEN SPRINGS,29,CLEBURNE
ALABAMA,1,433,BOYKIN,131,WILCOX
ALABAMA,1,435,BOYLSTON,101,MONTGOMERY
ALABAMA,1,440,BRADFORD,37,COOSA
ALABAMA,1,445,BRANCHVILLE,115,ST. CLAIR
ALABAMA,1,450,BRANTLEY,41,CRENSHAW
ALABAMA,1,455,BREMEN,43,CULLMAN
ALABAMA,1,460,BRENT,7,BIBB
ALABAMA,1,470,BREWTON,53,ESCAMBIA
ALABAMA,1,480,BRIDGEPORT,71,JACKSON
ALABAMA,1,482,BRIERFIELD,7,BIBB
ALABAMA,1,490,BRIGHTON,73,JEFFERSON
ALABAMA,1,492,BRILLIANT,93,MARION
ALABAMA,1,498,BROOKLEY AIR FORCE BASE (HISTORICAL),97,MOBILE
ALABAMA,1,502,BROOKLYN,35,CONECUH
ALABAMA,1,500,BROOKSIDE,73,JEFFERSON
ALABAMA,1,505,BROOKWOOD,125,TUSCALOOSA
ALABAMA,1,507,BROWNS,47,DALLAS
ALABAMA,1,508,BROWNSBORO,89,MADISON
ALABAMA,1,506,BROWNVILLE,73,JEFFERSON
ALABAMA,1,506,BROWNVILLE,125,TUSCALOOSA
ALABAMA,1,510,BRUNDIDGE,109,PIKE
ALABAMA,1,515,BRYANT,71,JACKSON
ALABAMA,1,517,BUCKS,97,MOBILE
ALABAMA,1,518,BUHL,125,TUSCALOOSA
ALABAMA,1,522,BURKVILLE,85,LOWNDES
ALABAMA,1,519,BURNT CORN,99,MONROE
ALABAMA,1,521,BURNWELL,127,WALKER
ALABAMA,1,520,BUTLER,23,CHOCTAW
ALABAMA,1,525,BYNUM,15,CALHOUN
ALABAMA,1,529,CAHABA HEIGHTS,73,JEFFERSON
ALABAMA,1,530,CALERA,117,SHELBY
ALABAMA,1,534,CALHOUN,85,LOWNDES
ALABAMA,1,538,CALVERT,129,WASHINGTON
ALABAMA,1,540,CAMDEN,131,WILCOX
ALABAMA,1,550,CAMP HILL,123,TALLAPOOSA
ALABAMA,1,556,CAMP SIBERT,55,ETOWAH
ALABAMA,1,545,CAMPBELL,25,CLARKE
ALABAMA,1,558,CAPSHAW,83,LIMESTONE
ALABAMA,1,560,CARBON HILL,127,WALKER
ALABAMA,1,570,CARDIFF,73,JEFFERSON
ALABAMA,1,575,CARLTON,25,CLARKE
ALABAMA,1,576,CAROLINA,39,COVINGTON
ALABAMA,1,580,CARROLLTON,107,PICKENS
ALABAMA,1,590,CARRVILLE,123,TALLAPOOSA
ALABAMA,1,600,CASTLEBERRY,35,CONECUH
ALABAMA,1,603,CATHERINE,131,WILCOX
ALABAMA,1,608,CECIL,101,MONTGOMERY
ALABAMA,1,610,CEDAR BLUFF,19,CHEROKEE
ALABAMA,1,615,CENTER POINT,73,JEFFERSON
ALABAMA,1,618,CENTRAL,51,ELMORE
ALABAMA,1,630,CENTRE,19,CHEROKEE
ALABAMA,1,620,CENTREVILLE,7,BIBB
ALABAMA,1,636,CHALKVILLE,73,JEFFERSON
ALABAMA,1,638,CHANCE,25,CLARKE
ALABAMA,1,637,CHANCELLOR,61,GENEVA
ALABAMA,1,640,CHAPMAN,13,BUTLER
ALABAMA,1,644,CHASE,89,MADISON
ALABAMA,1,650,CHATOM,129,WASHINGTON
ALABAMA,1,655,CHELSEA,117,SHELBY
ALABAMA,1,660,CHEROKEE,33,COLBERT
ALABAMA,1,670,CHICKASAW,97,MOBILE
ALABAMA,1,680,CHILDERSBURG,121,TALLADEGA
ALABAMA,1,683,CHOCCOLOCCO,15,CALHOUN
ALABAMA,1,684,CHOCTAW CITY,23,CHOCTAW
ALABAMA,1,685,CHUNCHULA,97,MOBILE
ALABAMA,1,690,CITRONELLE,97,MOBILE
ALABAMA,1,700,CLANTON,21,CHILTON
ALABAMA,1,705,CLARKE,127,WALKER
ALABAMA,1,708,CLAY,73,JEFFERSON
ALABAMA,1,712,CLAYHATCHEE,45,DALE
ALABAMA,1,710,CLAYTON,5,BARBOUR
ALABAMA,1,715,CLEVELAND,9,BLOUNT
ALABAMA,1,717,CLINTON,63,GREENE
ALABAMA,1,720,CLIO,5,BARBOUR
ALABAMA,1,719,CLOPTON,45,DALE
ALABAMA,1,721,CLOVERDALE,77,LAUDERDALE
ALABAMA,1,724,COALBURG,73,JEFFERSON
ALABAMA,1,718,COALING,125,TUSCALOOSA
ALABAMA,1,722,COATOPA,119,SUMTER
ALABAMA,1,723,CODEN,97,MOBILE
ALABAMA,1,730,COFFEE SPRINGS,61,GENEVA
ALABAMA,1,740,COFFEEVILLE,25,CLARKE
ALABAMA,1,743,COKER,125,TUSCALOOSA
ALABAMA,1,745,COLDWATER,15,CALHOUN
ALABAMA,1,750,COLLINSVILLE,49,DEKALB
ALABAMA,1,760,COLUMBIA,69,HOUSTON
ALABAMA,1,770,COLUMBIANA,117,SHELBY
ALABAMA,1,774,COMER,5,BARBOUR
ALABAMA,1,773,COOKS SPRINGS,115,ST. CLAIR
ALABAMA,1,776,COOSADA,51,ELMORE
ALABAMA,1,780,CORDOVA,127,WALKER
ALABAMA,1,787,COTTONDALE,125,TUSCALOOSA
ALABAMA,1,788,COTTONTON,113,RUSSELL
ALABAMA,1,790,COTTONWOOD,69,HOUSTON
ALABAMA,1,798,COUNTY LINE,9,BLOUNT
ALABAMA,1,798,COUNTY LINE,73,JEFFERSON
ALABAMA,1,800,COURTLAND,79,LAWRENCE
ALABAMA,1,802,COWARTS,69,HOUSTON
ALABAMA,1,803,COY,131,WILCOX
ALABAMA,1,804,CRAGFORD,27,CLAY
ALABAMA,1,805,CRAIG AIR FORCE BASE (HISTORICAL),47,DALLAS
ALABAMA,1,806,CRANE HILL,43,CULLMAN
ALABAMA,1,807,CREOLA,97,MOBILE
ALABAMA,1,808,CROMWELL,23,CHOCTAW
ALABAMA,1,809,CROPWELL,115,ST. CLAIR
ALABAMA,1,810,CROSSVILLE,49,DEKALB
ALABAMA,1,820,CUBA,119,SUMTER
ALABAMA,1,830,CULLMAN,43,CULLMAN
ALABAMA,1,835,CUSSETA,17,CHAMBERS
ALABAMA,1,836,CYPRESS,65,HALE
ALABAMA,1,840,DADEVILLE,123,TALLAPOOSA
ALABAMA,1,845,DALEVILLE,45,DALE
ALABAMA,1,855,DANVILLE,103,MORGAN
ALABAMA,1,860,DAPHNE,3,BALDWIN
ALABAMA,1,863,DARLINGTON,131,WILCOX
ALABAMA,1,865,DAUPHIN ISLAND,97,MOBILE
ALABAMA,1,870,DAVISTON,123,TALLAPOOSA
ALABAMA,1,875,DAWSON,49,DEKALB
ALABAMA,1,880,DAYTON,91,MARENGO
ALABAMA,1,883,DEARMANVILLE,15,CALHOUN
ALABAMA,1,885,DEATSVILLE,51,ELMORE
ALABAMA,1,890,DECATUR,103,MORGAN
ALABAMA,1,891,DEER PARK,129,WASHINGTON
ALABAMA,1,892,DELMAR,133,WINSTON
ALABAMA,1,895,DELTA,27,CLAY
ALABAMA,1,900,DEMOPOLIS,91,MARENGO
ALABAMA,1,905,DETROIT,75,LAMAR
ALABAMA,1,904,DICKINSON,25,CLARKE
ALABAMA,1,906,DIXIANA,73,JEFFERSON
ALABAMA,1,907,DIXONS MILLS,91,MARENGO
ALABAMA,1,910,DOCENA,73,JEFFERSON
ALABAMA,1,915,DOLOMITE,73,JEFFERSON
ALABAMA,1,920,DORA,127,WALKER
ALABAMA,1,930,DOTHAN,69,HOUSTON
ALABAMA,1,940,DOUBLE SPRINGS,133,WINSTON
ALABAMA,1,943,DOUGLAS,95,MARSHALL
ALABAMA,1,950,DOZIER,41,CRENSHAW
ALABAMA,1,952,DREWRY,99,MONROE
ALABAMA,1,953,DUNCANVILLE,125,TUSCALOOSA
ALABAMA,1,954,DUTTON,71,JACKSON
ALABAMA,1,960,EAST BREWTON,53,ESCAMBIA
ALABAMA,1,955,EASTABOGA,15,CALHOUN
ALABAMA,1,965,ECHOLA,125,TUSCALOOSA
ALABAMA,1,970,ECLECTIC,51,ELMORE
ALABAMA,1,990,EDGEWATER,73,JEFFERSON
ALABAMA,1,1000,EDWARDSVILLE,29,CLEBURNE
ALABAMA,1,1010,ELBA,31,COFFEE
ALABAMA,1,1011,ELBERTA,3,BALDWIN
ALABAMA,1,1012,ELDRIDGE,127,WALKER
ALABAMA,1,1020,ELKMONT,83,LIMESTONE
ALABAMA,1,1025,ELMORE,51,ELMORE
ALABAMA,1,1024,ELROD,125,TUSCALOOSA
ALABAMA,1,1026,EMELLE,119,SUMTER
ALABAMA,1,1028,EMPIRE,127,WALKER
ALABAMA,1,1030,ENTERPRISE,31,COFFEE
ALABAMA,1,1040,EPES,119,SUMTER
ALABAMA,1,1042,EQUALITY,37,COOSA
ALABAMA,1,1043,ESTILLFORK,71,JACKSON
ALABAMA,1,1045,ETHELSVILLE,107,PICKENS
ALABAMA,1,1050,EUFAULA,5,BARBOUR
ALABAMA,1,1060,EUNOLA,61,GENEVA
ALABAMA,1,1070,EUTAW,63,GREENE
ALABAMA,1,1071,EVA,103,MORGAN
ALABAMA,1,1080,EVERGREEN,35,CONECUH
ALABAMA,1,1090,EXCEL,99,MONROE
ALABAMA,1,1094,FACKLER,71,JACKSON
ALABAMA,1,1110,FAIRFIELD,73,JEFFERSON
ALABAMA,1,1115,FAIRFORD,129,WASHINGTON
ALABAMA,1,1120,FAIRHOPE,3,BALDWIN
ALABAMA,1,1121,FAIRVIEW,43,CULLMAN
ALABAMA,1,3299,FALCO,39,COVINGTON
ALABAMA,1,1130,FALKVILLE,103,MORGAN
ALABAMA,1,1140,FAUNSDALE,91,MARENGO
ALABAMA,1,1150,FAYETTE,57,FAYETTE
ALABAMA,1,1152,FERNBANK,75,LAMAR
ALABAMA,1,1154,FITZPATRICK,11,BULLOCK
ALABAMA,1,1160,FIVE POINTS,17,CHAMBERS
ALABAMA,1,1170,FLAT CREEK,73,JEFFERSON
ALABAMA,1,1170,FLAT CREEK,127,WALKER
ALABAMA,1,1174,FLAT ROCK,71,JACKSON
ALABAMA,1,1176,FLINT CITY,103,MORGAN
ALABAMA,1,1180,FLOMATON,53,ESCAMBIA
ALABAMA,1,1190,FLORALA,39,COVINGTON
ALABAMA,1,1200,FLORENCE,77,LAUDERDALE
ALABAMA,1,1210,FOLEY,3,BALDWIN
ALABAMA,1,1212,FOREST HOME,13,BUTLER
ALABAMA,1,1211,FORESTDALE,73,JEFFERSON
ALABAMA,1,1213,FORKLAND,63,GREENE
ALABAMA,1,1215,FORT DAVIS,87,MACON
ALABAMA,1,1220,FORT DEPOSIT,85,LOWNDES
ALABAMA,1,1225,FORT MCCLELLAN,15,CALHOUN
ALABAMA,1,1226,FORT MITCHELL,113,RUSSELL
ALABAMA,1,1228,FORT MORGAN,3,BALDWIN
ALABAMA,1,1230,FORT PAYNE,49,DEKALB
ALABAMA,1,1235,FORT RUCKER,31,COFFEE
ALABAMA,1,1235,FORT RUCKER,45,DALE
ALABAMA,1,1237,FOSTERS,125,TUSCALOOSA
