state,st_case,veh_no,day,month,hour,minute,make,model,mod_year,deformed
1,10001,1,1,1,9,25,20,401,2002,Disabling Damage
1,10002,1,10,1,19,59,37,31,2008,Disabling Damage
1,10003,1,1,1,2,20,20,481,2008,Disabling Damage
1,10004,1,17,1,21,45,20,481,2000,Disabling Damage
1,10005,1,26,1,20,7,20,481,1995,Disabling Damage
1,10006,1,1,1,1,10,49,472,2009,Disabling Damage
1,10007,1,1,1,23,34,63,34,2010,Disabling Damage
1,10008,1,4,1,17,30,20,4,2005,Disabling Damage
1,10009,1,4,1,5,37,35,472,2015,Disabling Damage
1,10009,2,4,1,5,37,48,46,2015,Disabling Damage
1,10010,1,5,1,15,18,12,3,2006,Disabling Damage
1,10011,1,6,1,8,4,7,482,2015,Disabling Damage
1,10011,2,6,1,8,4,37,31,1998,Disabling Damage
1,10012,1,6,1,14,20,49,471,1986,Disabling Damage
1,10013,1,7,1,16,55,55,37,2004,Disabling Damage
1,10014,1,8,1,0,35,35,47,2009,Disabling Damage
1,10014,2,8,1,0,35,20,481,2004,Disabling Damage
1,10015,1,8,1,7,25,20,2,2004,Disabling Damage
1,10015,2,8,1,7,25,37,441,2014,Disabling Damage
1,10016,1,9,1,4,30,20,481,1990,Disabling Damage
1,10017,1,11,1,19,43,20,401,2002,Disabling Damage
1,10018,1,13,1,8,0,20,37,2015,Disabling Damage
1,10019,1,13,1,16,35,20,401,2002,Disabling Damage
1,10020,1,10,1,1,20,7,482,2015,Disabling Damage
1,10020,2,10,1,1,20,52,401,1997,Disabling Damage
1,10021,1,13,1,7,30,7,402,1999,Disabling Damage
1,10021,2,13,1,7,30,12,881,1994,Disabling Damage
1,10022,1,14,1,10,35,12,401,1999,Disabling Damage
1,10022,2,14,1,10,35,98,881,2007,Disabling Damage
1,10023,1,14,1,4,35,20,2,2008,Disabling Damage
1,10024,1,14,1,13,45,37,32,1998,Disabling Damage
1,10025,1,15,1,21,45,49,471,1983,Disabling Damage
1,10025,2,15,1,21,45,12,481,1994,Disabling Damage
1,10026,1,15,1,12,43,52,46,2009,Disabling Damage
1,10026,2,15,1,12,43,37,402,2014,Disabling Damage
1,10026,3,15,1,12,43,63,37,2012,Disabling Damage
1,10027,1,15,1,20,9,58,33,1999,Disabling Damage
1,10028,1,15,1,14,35,22,18,2001,Disabling Damage
1,10029,1,14,1,11,54,35,47,2012,Disabling Damage
1,10029,2,14,1,11,54,87,881,1989,Disabling Damage
1,10030,1,10,1,4,23,20,2,2008,Disabling Damage
1,10031,1,21,1,14,24,20,499,2003,Disabling Damage
1,10031,2,21,1,14,24,7,482,2013,Minor Damage
1,10031,3,21,1,14,24,63,34,2015,Disabling Damage
1,10032,1,21,1,7,30,23,422,2015,Disabling Damage
1,10032,2,21,1,7,30,12,481,2001,Disabling Damage
1,10033,1,21,1,7,48,37,32,2010,Functional Damage
1,10033,2,21,1,7,48,24,1,1992,Functional Damage
1,10034,1,22,1,16,40,20,2,2005,Disabling Damage
1,10034,2,22,1,16,40,23,421,2008,Disabling Damage
1,10035,1,22,1,14,44,18,421,2015,Disabling Damage
1,10035,2,22,1,14,44,37,705,2008,Disabling Damage
1,10036,1,23,1,18,54,49,40,2003,Minor Damage
